time,chassis_joint.phi,chassis_joint.w,left_joint.phi,left_joint.w,Right_joint1.phi
1.69,-0.8985379134853948,-6.497521170472054,0.0,0.0,0.0
1.7,-0.9643339428049966,-6.658537353462356,0.0,0.0,0.0
1.71,-1.0316667691638395,-6.804785093812749,0.0,0.0,0.0
1.72,-1.1003836912318603,-6.935265779412399,0.0,0.0,0.0
1.73,-1.1703258142430355,-7.04909784408905,0.0,0.0,0.0
1.74,-1.2413180538049113,-7.145408626201984,0.0,0.0,0.0
1.75,-1.3131826237456001,-7.223471808780604,0.0,0.0,0.0
1.76,-1.3857366374828692,-7.282697488383295,0.0,0.0,0.0
1.77,-1.4587844542175905,-7.322613867288251,0.0,0.0,0.0
1.78,-1.5321338166647425,-7.342886737163092,0.0,0.0,0.0
1.79,-1.605588253867343,-7.343354092701081,0.0,0.0,0.0
1.8,-1.6789456440010915,-7.324052816599023,0.0,0.0,0.0
1.81,-1.7520119522431996,-7.285073672561947,0.0,0.0,0.0
1.82,-1.8245912332900118,-7.226755910645392,0.0,0.0,0.0
1.83,-1.8964905347204466,-7.1496334157297134,0.0,0.0,0.0
1.84,-1.9675257524963972,-7.05416907683741,0.0,0.0,0.0
1.85,-2.0375171223833934,-6.941173525652987,0.0,0.0,0.0
1.86,-2.1062938314946424,-6.811527587956077,0.0,0.0,0.0
1.87,-2.1736913092838956,-6.666028922274197,0.0,0.0,0.0
1.8800000000000001,-2.2395587609572476,-6.505750954164765,0.0,0.0,0.0
1.8900000000000001,-2.30375462425124,-6.331760218827607,0.0,0.0,0.0
1.9000000000000001,-2.3661424782550715,-6.1450601749148985,0.0,0.0,0.0
1.9100000000000001,-2.4266053448559477,-5.946785206516897,0.0,0.0,0.0
1.92,-2.485033365118735,-5.738025467827721,0.0,0.0,0.0
1.93,-2.5413225454727484,-5.519832020360944,0.0,0.0,0.0
1.94,-2.5953887508125826,-5.293237363064452,0.0,0.0,0.0
1.95,-2.647152209413704,-5.059239480490888,0.0,0.0,0.0
1.96,-2.696540794328002,-4.818789291121417,0.0,0.0,0.0
1.97,-2.74349835539906,-4.5727268884206955,0.0,0.0,0.0
1.98,-2.7879712477545415,-4.321891262842742,0.0,0.0,0.0
1.99,-2.8299145544024458,-4.067033150465576,0.0,0.0,0.0
2.0,-2.8692937091138155,-3.808775709724552,0.0,0.0,0.0
2.0100000000000002,-2.9060761848658774,-3.547768598692981,0.0,0.0,0.0
2.02,-2.9402372660407528,-3.284526772117456,0.0,0.0,0.0
2.0300000000000002,-2.9717576839242876,-3.019472080195311,0.0,0.0,0.0
